DEVICE TYPE,FILE NAME,EX OFFSET, EV,SS,ISO,WB BLUE GAIN,WB GREEN GAIN,WB RED GAIN,WB TEMP,WB TINT, TORCH,FACE X, FACE Y, FACE W, FACE H, LEFT EYE X, LEFT EYE Y, RIGHT EYE X, RIGHT EYE Y, MOUTH X, MOUTH Y
iPhone8P,00_iPhone8P_200_120_000.dng,-6.6865,0.0000,0.0083,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_120_000.dng,-5.0444,0.0000,0.0083,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_240_000.dng,-6.5236,0.0000,0.0041,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_240_000.dng,-6.5236,0.0000,0.0041,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_240_000.dng,-6.5236,0.0000,0.0041,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_240_000.dng,-6.6865,0.0000,0.0041,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_030_001.dng,-3.0838,0.0000,0.0333,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_030_001.dng,-1.9696,0.0000,0.0333,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_030_001.dng,-0.8654,0.0000,0.0333,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_030_001.dng,0.1559,0.0000,0.0333,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_060_001.dng,-4.2630,0.0000,0.0167,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_060_001.dng,-3.0614,0.0000,0.0167,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_060_001.dng,-1.9399,0.0000,0.0167,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_060_001.dng,-0.8654,0.0000,0.0167,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_120_001.dng,-5.4179,0.0000,0.0083,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_120_001.dng,-4.2630,0.0000,0.0083,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_120_001.dng,-3.0614,0.0000,0.0083,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_120_001.dng,-1.9322,0.0000,0.0083,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_240_001.dng,-7.1898,0.0000,0.0041,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_240_001.dng,-5.4179,0.0000,0.0041,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_240_001.dng,-4.2555,0.0000,0.0041,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_240_001.dng,-3.0539,0.0000,0.0041,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_050_030_050.dng,0.7941,0.0000,0.0333,49.9492,1.8689,1.0000,2.1272,4005.6216,-0.0092,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_100_030_050.dng,1.2584,0.0000,0.0333,99.8815,1.8689,1.0000,2.1272,4005.6216,-0.0092,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_200_030_050.dng,1.6427,0.0000,0.0333,199.6923,1.8689,1.0000,2.1272,4005.6216,-0.0092,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPhone8P,00_iPhone8P_400_030_050.dng,2.0633,0.0000,0.0333,400.0615,1.8689,1.0000,2.1272,4005.6216,-0.0092,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
